Ciudad,Propiedades
GBA Norte - San Isidro,48
Costa Atlántica - Mar de Ajo,48
Costa Atlántica - Pinamar,48
GBA Sur - Avellaneda,48
Córdoba - Punilla,48
GBA Sur - Quilmes,48
GBA Norte - San Miguel,47
Costa Atlántica - Villa Gesell,47
Costa Atlántica - Mar del Plata,47
Costa Atlántica - Mar del Tuyu,47
GBA Norte - Vicente Lopez,47
GBA Norte - General San Martin,47
GBA Norte - San Fernando,47
GBA Oeste - Castelar,47
GBA Oeste - Moron,47
GBA Sur - Lanus,47
Córdoba - Colon,47
GBA Oeste - Tres de Febrero,47
Córdoba - Villa Carlos Paz,47
GBA Oeste - Hurlingham,47
GBA Sur - Esteban Echeverria,47
GBA Sur - Berazategui,47
GBA Sur - Almirante Brown,46
Buenos Aires Interior - San Vicente,46
GBA Sur - Lomas de Zamora,46
GBA Sur - La Plata,46
Córdoba - Córdoba,46
GBA Oeste - Merlo,46
GBA Oeste - Ituzaingo,46
GBA Norte - Tigre,45
GBA Oeste - Moreno,45
Costa Atlántica - Costa Esmeralda,44
Buenos Aires Interior - Lujan,44
GBA Oeste - La Matanza,44
Córdoba - Santa Maria,44
GBA Norte - Escobar,43
GBA Norte - Malvinas Argentina,42
GBA Norte - Pilar,40
GBA Sur - Ezeiza,2
